Date,Average Dew Point (F),Average Temperature (F),Average Relative Humidity (%),Average Daily Wind Speed (mph),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2015-07-10,72,83,70,7.2,93,74,0.00
2015-07-11,72,83,69,6.5,93,74,0.00
2015-07-12,72,84,69,6.5,94,74,0.00
2015-07-13,73,85,71,7.6,94,76,0.00
2015-07-14,71,85,67,7.6,94,75,0.00
2015-07-15,71,84,69,7.6,94,74,0.00
2015-07-16,72,85,69,8.3,95,75,0.00
2015-07-17,73,86,68,9.2,96,75,0.00
2015-07-18,73,86,67,9.2,96,76,0.00
2015-07-19,73,86,68,6.5,96,75,0.00
2015-07-20,72,85,67,7.8,95,76,0.00
2015-07-21,72,86,66,7.6,96,75,0.00
2015-07-22,72,87,65,9.2,97,77,0.00
2015-07-23,71,85,65,8.9,97,74,0.00
2015-07-24,72,85,68,7.6,97,74,0.00
2015-07-25,71,85,65,5.6,95,76,0.00
2015-07-26,72,86,66,6.0,96,76,0.00
2015-07-27,72,87,66,7.6,97,77,0.00
2015-07-28,72,87,63,9.4,98,76,0.00
2015-07-29,70,87,62,4.9,99,75,0.00
2015-07-30,70,89,60,5.4,101,77,0.11
2015-07-31,69,90,56,7.2,100,79,0.00
2015-08-01,61,87,45,7.2,99,74,0.00
2015-08-02,61,86,46,3.8,100,72,0.00
2015-08-03,67,86,57,4.7,98,74,0.00
2015-08-04,71,86,64,8.1,97,75,0.00
2015-08-05,72,88,63,9.6,99,77,0.00
2015-08-06,72,89,61,10.7,100,78,0.00
2015-08-07,72,89,63,9.8,99,78,0.00
2015-08-08,72,88,63,8.3,100,76,0.00
2015-08-09,70,88,61,6.7,101,75,0.00
2015-08-10,69,90,58,5.6,104,76,0.00
2015-08-11,69,91,57,5.6,106,76,0.01
2015-08-12,71,90,60,4.5,104,76,0.0
2015-08-13,71,90,58,5.8,101,79,0.00
2015-08-14,69,89,56,4.9,100,78,0.00
2015-08-15,65,88,50,6.3,100,76,0.00
2015-08-16,69,86,66,5.1,96,75,0.02
2015-08-17,69,83,64,5.1,94,73,0.01
2015-08-18,71,87,64,11.6,99,75,0.00
2015-08-19,73,88,71,9.6,99,77,0.00
2015-08-20,71,78,83,7.4,82,73,0.13
2015-08-21,71,81,78,7.8,90,73,0.03
2015-08-22,73,87,70,9.2,98,76,0.00
2015-08-23,73,88,67,7.2,99,77,0.00
2015-08-24,72,87,63,4.0,99,76,0.00
2015-08-25,72,85,74,5.8,96,73,1.16
2015-08-26,67,83,63,4.9,93,72,0.00
2015-08-27,66,81,61,2.7,92,70,0.00
2015-08-28,65,81,60,4.7,93,70,0.00
2015-08-29,67,81,64,5.1,91,71,0.00
2015-08-30,67,82,65,4.5,90,74,0.00
2015-08-31,70,81,72,7.4,91,72,0.00
2015-09-01,69,81,73,7.4,90,72,0.00
2015-09-02,69,80,71,6.3,90,70,0.02
2015-09-03,71,83,73,6.5,93,73,0.00
2015-09-04,73,85,74,6.3,95,75,0.0
2015-09-05,74,85,81,6.5,95,76,1.38
2015-09-06,73,86,72,5.8,95,77,0.00
2015-09-07,73,86,70,6.7,95,77,0.00
2015-09-08,72,85,69,7.2,95,75,0.00
2015-09-09,73,81,80,3.4,88,74,0.0
2015-09-10,73,83,82,5.6,91,75,0.12
2015-09-11,73,83,79,5.8,91,74,0.0
2015-09-12,55,80,46,11.2,89,70,0.00
2015-09-13,52,75,46,7.6,87,62,0.00
2015-09-14,58,75,58,7.6,87,62,0.00
2015-09-15,71,81,77,8.9,91,71,0.06
2015-09-16,70,83,71,9.2,93,73,0.00
2015-09-17,70,82,72,6.7,93,71,0.00
2015-09-18,68,83,69,5.8,93,72,0.00
2015-09-19,65,82,62,3.8,95,69,0.00
2015-09-20,64,81,60,4.0,94,69,0.00
2015-09-21,67,85,63,2.0,94,75,0.04
2015-09-22,66,83,61,2.9,95,72,0.00
2015-09-23,59,81,53,3.4,94,68,0.00
2015-09-24,61,80,53,4.7,95,65,0.00
2015-09-25,66,83,65,4.9,93,73,0.08
2015-09-26,59,81,53,4.0,94,68,0.00
2015-09-27,63,78,65,4.9,89,67,0.00
2015-09-28,66,76,77,7.6,83,69,0.04
2015-09-29,66,81,65,7.6,92,69,0.00
2015-09-30,63,82,57,6.5,94,70,0.00
2015-10-01,60,81,54,9.2,91,70,0.00
2015-10-02,47,74,43,9.2,86,63,0.00
2015-10-03,47,71,44,6.7,85,57,0.00
2015-10-04,50,71,50,6.9,85,58,0.00
2015-10-05,55,74,54,6.7,85,62,0.00
2015-10-06,57,76,55,4.9,90,62,0.00
2015-10-07,61,78,58,3.4,90,65,0.00
2015-10-08,63,79,63,3.4,89,68,0.00
2015-10-09,64,80,61,4.9,91,69,0.00
2015-10-10,58,78,56,6.9,90,65,0.00
2015-10-11,62,79,60,7.8,93,64,0.00
2015-10-12,68,83,68,10.1,95,71,0.00
2015-10-13,44,81,34,6.5,94,68,0.00
2015-10-14,43,76,35,3.6,94,57,0.00
2015-10-15,51,76,51,4.9,94,58,0.00
2015-10-16,52,76,50,4.9,92,59,0.00
2015-10-17,44,74,38,8.9,86,62,0.00
2015-10-18,35,69,32,6.9,83,54,0.00
2015-10-19,39,69,36,6.5,83,55,0.00
2015-10-20,62,72,76,8.1,85,59,0.0
2015-10-21,67,78,75,10.5,86,70,0.00
2015-10-22,70,78,79,12.8,86,70,0.0
2015-10-23,73,76,92,9.8,79,74,1.37
2015-10-24,68,71,95,13.0,75,66,4.94
2015-10-25,61,63,94,18.1,66,60,1.39
2015-10-26,57,68,71,12.3,77,59,0.00
2015-10-27,57,69,72,5.8,80,58,0.00
2015-10-28,54,68,62,9.2,79,57,0.00
2015-10-29,53,67,62,5.1,81,53,0.00
2015-10-30,67,72,86,13.6,77,68,0.21
2015-10-31,66,70,88,7.6,74,66,0.90
2015-11-01,61,64,89,7.8,70,58,0.06
2015-11-02,57,66,73,2.9,75,57,0.00
2015-11-03,60,68,80,5.8,78,58,0.00
2015-11-04,65,72,83,8.3,80,64,0.00
2015-11-05,72,78,86,11.4,83,72,0.01
2015-11-06,58,69,70,6.7,77,60,0.48
2015-11-07,57,60,89,13.9,65,54,0.85
2015-11-08,47,62,60,9.2,70,54,0.00
2015-11-09,49,63,63,3.8,73,52,0.00
2015-11-10,61,66,81,7.6,74,58,0.00
2015-11-11,67,74,80,10.3,83,66,0.02
2015-11-12,42,62,47,9.4,71,53,0.00
2015-11-13,40,60,49,8.7,67,53,0.0
2015-11-14,42,61,52,7.4,69,53,0.00
2015-11-15,51,65,64,7.6,75,56,0.00
2015-11-16,67,70,90,12.3,78,62,0.06
2015-11-17,56,63,89,11.2,77,50,2.28
2015-11-18,46,58,67,4.0,70,45,0.00
2015-11-19,50,63,68,1.1,78,49,0.00
2015-11-20,50,64,64,5.8,76,52,0.00
2015-11-21,43,53,64,14.3,64,42,0.0
2015-11-22,31,46,59,5.1,57,35,0.00
2015-11-23,34,49,60,3.1,63,34,0.00
2015-11-24,48,60,69,10.1,72,47,0.00
2015-11-25,61,69,81,11.4,77,61,0.0
2015-11-26,67,71,89,12.1,76,67,0.06
2015-11-27,61,61,91,12.1,77,45,0.56
2015-11-28,43,44,93,10.3,46,42,0.30
2015-11-29,45,46,95,7.2,49,43,0.32
2015-11-30,48,49,91,5.8,51,46,0.03
2015-12-01,45,54,77,6.9,59,49,0.00
2015-12-02,39,54,65,6.7,66,42,0.00
2015-12-03,37,51,62,4.5,63,39,0.00
2015-12-04,38,51,66,5.1,62,40,0.00
2015-12-05,38,51,66,2.9,65,38,0.00
2015-12-06,45,56,72,4.3,69,42,0.00
2015-12-07,45,56,73,1.1,68,43,0.00
2015-12-08,50,59,76,7.2,73,44,0.00
2015-12-09,50,62,73,3.6,75,49,0.00
2015-12-10,60,67,82,10.1,78,56,0.00
2015-12-11,64,72,80,11.9,80,64,0.00
2015-12-12,69,72,91,17.7,75,70,3.43
2015-12-13,54,62,94,10.5,75,49,1.69
2015-12-14,47,58,71,7.8,71,44,0.00
2015-12-15,60,62,88,8.5,72,51,0.0
2015-12-16,38,55,51,10.5,67,43,0.01
2015-12-17,33,49,52,6.5,61,38,0.00
2015-12-18,33,45,64,5.6,57,34,0.00
2015-12-19,39,52,65,8.7,64,39,0.00
2015-12-20,55,56,87,10.1,67,46,0.0
2015-12-21,62,65,88,6.0,75,54,0.00
2015-12-22,59,63,87,7.4,77,48,0.00
2015-12-23,54,69,61,8.5,80,58,0.00
2015-12-24,61,64,84,4.3,76,52,0.00
2015-12-25,63,69,81,6.7,78,60,0.00
2015-12-26,70,76,87,16.1,78,73,0.09
2015-12-27,54,59,92,18.8,75,42,2.77
2015-12-28,34,41,73,12.5,44,37,0.01
2015-12-29,36,45,76,4.9,53,36,0.0
2015-12-30,43,49,83,8.5,54,43,0.07
2015-12-31,39,47,73,11.4,54,40,0.01
2016-01-01,35,47,67,11.6,49,44,0.0
2016-01-02,33,47,61,6.7,50,44,0.01
2016-01-03,37,52,65,6.3,61,42,0.0
2016-01-04,32,47,60,5.6,59,34,0.00
2016-01-05,34,45,69,7.6,56,35,0.00
2016-01-06,46,51,84,7.8,58,44,0.93
2016-01-07,53,55,94,3.8,61,49,0.03
2016-01-08,54,54,97,4.7,61,47,0.07
2016-01-09,39,49,76,14.8,58,41,0.18
2016-01-10,28,40,62,9.2,49,32,0.00
2016-01-11,30,44,63,3.1,55,32,0.00
2016-01-12,35,49,67,1.8,64,33,0.00
2016-01-13,39,51,69,4.7,64,37,0.00
2016-01-14,52,56,86,6.3,68,43,0.00
2016-01-15,42,56,63,6.9,68,45,0.00
2016-01-16,39,48,71,9.8,55,41,0.05
2016-01-17,32,44,64,4.0,57,30,0.00
2016-01-18,36,47,68,2.9,59,34,0.00
2016-01-19,45,56,70,11.0,69,42,0.0
2016-01-20,40,51,65,6.5,59,43,0.02
2016-01-21,48,54,80,14.1,66,41,0.01
2016-01-22,29,44,58,15.0,51,37,0.00
2016-01-23,29,42,64,3.6,54,30,0.00
2016-01-24,42,52,67,12.5,68,35,0.00
2016-01-25,52,65,71,10.1,74,56,0.00
2016-01-26,35,51,51,15.2,59,43,0.0
2016-01-27,27,47,50,9.2,59,34,0.00
2016-01-28,30,49,56,3.6,68,29,0.00
2016-01-29,35,58,50,8.1,76,39,0.00
2016-01-30,49,63,67,13.9,76,51,0.00
2016-01-31,58,69,73,9.2,80,58,0.00
2016-02-01,60,69,76,15.2,77,60,0.00
2016-02-02,32,61,36,8.5,71,50,0.00
2016-02-03,29,47,47,10.7,57,38,0.00
2016-02-04,24,45,48,7.6,58,32,0.00
2016-02-05,26,46,46,7.6,59,33,0.00
2016-02-06,36,47,72,9.6,55,39,0.10
2016-02-07,34,48,64,4.7,65,31,0.00
2016-02-08,20,50,33,13.9,61,39,0.00
2016-02-09,22,52,33,6.9,68,35,0.00
2016-02-10,32,54,45,7.4,71,37,0.00
2016-02-11,41,63,49,10.3,79,48,0.00
2016-02-12,50,63,66,6.3,78,47,0.00
2016-02-13,49,63,65,9.6,73,52,0.00
2016-02-14,55,67,74,12.3,76,57,0.0
2016-02-15,49,62,63,8.5,75,48,0.0
2016-02-16,38,61,46,7.6,79,43,0.00
2016-02-17,33,60,38,8.3,73,47,0.00
2016-02-18,52,63,72,12.8,79,47,0.00
2016-02-19,58,69,75,12.1,80,58,0.00
2016-02-20,62,71,80,11.4,76,65,0.00
2016-02-21,65,67,95,4.7,71,62,0.10
2016-02-22,59,63,89,5.8,68,58,0.40
2016-02-23,51,56,84,15.4,65,46,0.72
2016-02-24,34,52,56,11.9,62,41,0.00
2016-02-25,32,53,49,7.8,68,38,0.00
2016-02-26,29,51,45,4.5,63,40,0.00
2016-02-27,41,56,60,7.2,71,40,0.00
2016-02-28,54,62,77,10.3,74,50,0.00
2016-02-29,59,68,77,8.5,78,58,0.00
2016-03-01,56,69,69,11.9,81,57,0.00
2016-03-02,44,60,55,13.2,73,47,0.00
2016-03-03,49,71,54,13.4,83,59,0.00
2016-03-04,39,60,46,6.5,74,45,0.00
2016-03-05,50,63,70,4.0,77,50,0.00
2016-03-06,54,65,74,13.2,77,52,0.00
2016-03-07,62,70,80,18.3,78,61,0.0
2016-03-08,67,74,84,17.7,80,68,0.11
2016-03-09,61,65,96,13.0,71,59,1.83
2016-03-10,63,66,92,12.3,71,61,1.14
2016-03-11,61,68,82,6.7,75,61,0.37
2016-03-12,59,65,81,6.3,72,59,0.44
2016-03-13,54,70,66,9.2,84,56,0.00
2016-03-14,55,71,60,9.6,89,53,0.00
2016-03-15,62,74,72,10.3,83,65,0.00
2016-03-16,57,70,63,7.4,80,59,0.00
2016-03-17,65,72,81,4.7,78,65,0.0
2016-03-18,64,71,80,8.9,83,59,0.00
2016-03-19,40,56,58,17.2,64,47,0.00
2016-03-20,30,50,46,11.4,60,40,0.00
2016-03-21,32,50,52,5.6,65,35,0.00
2016-03-22,50,61,68,15.0,75,47,0.00
2016-03-23,62,71,77,18.6,77,65,0.0
2016-03-24,42,59,60,13.6,70,48,0.54
2016-03-25,42,58,54,5.8,72,44,0.00
2016-03-26,53,62,74,4.9,75,48,0.00
2016-03-27,55,63,76,9.8,72,53,0.00
2016-03-28,45,60,57,7.2,74,47,0.00
2016-03-29,62,65,90,8.3,72,57,0.0
2016-03-30,69,72,92,13.2,75,69,0.0
2016-03-31,59,74,62,8.9,86,63,0.00
2016-04-01,45,56,65,14.3,65,46,0.09
2016-04-02,39,58,53,9.2,72,45,0.00
2016-04-03,41,59,52,4.0,75,42,0.00
2016-04-04,48,65,58,6.5,81,50,0.00
2016-04-05,49,67,56,7.8,82,51,0.00
2016-04-06,49,67,62,7.6,80,53,0.0
2016-04-07,44,65,50,4.3,83,46,0.00
2016-04-08,41,67,40,7.2,80,53,0.00
2016-04-09,52,67,61,8.7,77,56,0.0
2016-04-10,62,72,77,15.2,82,62,0.0
2016-04-11,69,73,92,10.5,78,68,0.06
2016-04-12,64,67,91,12.3,72,63,0.17
2016-04-13,62,65,92,7.4,70,61,0.59
2016-04-14,59,63,87,6.9,68,57,0.00
2016-04-15,59,67,79,5.1,78,56,0.00
2016-04-16,65,71,80,13.0,82,60,0.01
2016-04-17,68,72,91,11.4,76,68,0.60
2016-04-18,66,72,90,8.1,78,66,1.17
2016-04-19,67,72,83,4.5,81,64,0.0
2016-04-20,64,70,85,4.9,78,61,1.29
2016-04-21,63,70,82,6.3,78,61,0.24
2016-04-22,57,70,65,6.3,81,59,0.00
2016-04-23,55,69,62,4.0,81,57,0.00
2016-04-24,63,68,85,8.9,77,59,0.03
2016-04-25,69,78,79,11.6,88,67,0.00
2016-04-26,69,80,76,16.3,86,73,0.00
2016-04-27,61,74,69,7.8,85,63,0.57
2016-04-28,68,76,77,10.3,88,64,0.00
2016-04-29,73,81,82,15.7,87,75,0.15
2016-04-30,67,77,74,7.4,86,68,0.45
2016-05-01,63,75,70,11.6,82,68,0.0
2016-05-02,56,63,76,12.8,68,59,0.01
2016-05-03,49,64,61,9.2,75,53,0.00
2016-05-04,53,68,60,5.4,83,53,0.00
2016-05-05,51,71,52,6.0,84,58,0.00
2016-05-06,52,69,52,3.8,84,54,0.00
2016-05-07,57,72,61,9.6,84,59,0.00
2016-05-08,63,71,77,12.3,78,64,0.01
2016-05-09,66,76,73,12.1,85,66,0.00
2016-05-10,70,81,74,10.7,90,71,0.00
2016-05-11,67,76,74,10.7,88,65,0.11
2016-05-12,68,78,75,6.0,87,69,0.0
2016-05-13,67,79,69,6.3,88,70,0.00
2016-05-14,69,76,89,4.7,84,68,0.27
2016-05-15,66,71,88,6.7,77,65,0.02
2016-05-16,66,73,85,8.9,79,67,0.19
2016-05-17,66,74,80,7.6,83,65,0.0
2016-05-18,63,70,83,11.0,75,64,0.20
2016-05-19,63,66,94,10.1,71,61,2.14
2016-05-20,63,72,81,5.8,82,61,0.00
2016-05-21,68,74,87,5.4,82,66,1.29
2016-05-22,71,79,83,7.4,88,70,0.00
2016-05-23,71,76,84,8.5,83,70,0.00
2016-05-24,73,81,82,11.2,90,71,0.0
2016-05-25,74,83,78,13.6,89,77,0.00
2016-05-26,72,74,94,10.7,79,69,5.76
2016-05-27,66,68,97,11.2,71,65,2.78
2016-05-28,70,76,82,7.2,90,61,0.00
2016-05-29,71,81,77,6.7,89,73,0.00
2016-05-30,70,80,79,5.6,87,72,0.00
2016-05-31,71,78,86,6.5,86,69,0.15
2016-06-01,70,79,83,5.8,89,69,0.0
2016-06-02,70,75,86,5.1,81,69,0.29
2016-06-03,69,76,82,3.6,83,68,0.01
2016-06-04,70,76,89,6.7,81,70,0.37
2016-06-05,67,80,70,10.1,89,71,0.0
2016-06-06,68,79,68,7.2,88,69,0.00
2016-06-07,67,81,62,4.7,90,72,0.00
2016-06-08,68,81,65,3.8,90,72,0.00
2016-06-09,70,83,71,5.8,92,74,0.00
2016-06-10,73,82,76,6.0,92,72,0.00
2016-06-11,74,84,74,7.6,93,75,0.00
2016-06-12,76,83,83,9.8,89,77,0.05
2016-06-13,76,86,78,8.9,93,78,0.00
2016-06-14,75,86,74,9.6,94,78,0.00
2016-06-15,74,86,71,10.3,95,77,0.00
2016-06-16,74,85,72,9.2,95,76,0.00
2016-06-17,74,85,73,6.7,95,75,0.00
2016-06-18,73,85,70,6.7,95,76,0.00
2016-06-19,72,84,71,5.1,93,75,0.0
2016-06-20,73,85,76,4.7,95,74,0.08
2016-06-21,74,85,73,4.9,94,76,0.08
2016-06-22,74,85,72,9.6,94,76,0.00
2016-06-23,71,85,67,8.7,94,75,0.00
2016-06-24,71,83,68,7.6,94,72,0.00
2016-06-25,76,84,80,7.6,91,77,0.09
2016-06-26,74,85,74,4.9,94,76,0.00
2016-06-27,72,86,67,3.4,96,75,0.00
2016-06-28,74,83,87,5.1,93,72,1.61
2016-06-29,73,82,73,6.5,93,71,0.00
2016-06-30,72,85,66,5.4,94,75,0.00
2016-07-01,73,85,69,4.9,94,76,0.00
2016-07-02,74,85,71,9.2,95,76,0.00
2016-07-03,75,86,72,12.8,95,77,0.00
2016-07-04,75,88,70,12.8,96,80,0.00
2016-07-05,75,88,70,11.9,96,80,0.00
2016-07-06,74,88,68,13.4,96,80,0.00
2016-07-07,74,88,69,12.5,97,79,0.00
2016-07-08,74,87,70,10.5,97,77,0.00
2016-07-09,74,86,69,8.5,97,75,0.00
2016-07-10,73,87,69,10.7,95,79,0.00
2016-07-11,72,89,65,15.4,98,79,0.00
2016-07-12,73,87,68,13.4,97,77,0.00
2016-07-13,75,89,68,13.4,98,79,0.00
2016-07-14,74,89,67,10.5,99,79,0.00
2016-07-15,72,87,65,8.5,98,76,0.00
2016-07-16,73,86,69,6.7,96,75,0.00
2016-07-17,72,85,67,7.8,97,74,0.00
2016-07-18,73,86,68,6.7,96,76,0.00
2016-07-19,74,87,69,6.0,97,77,0.00
2016-07-20,72,87,65,4.9,98,76,0.00
2016-07-21,71,87,61,5.8,99,76,0.00
2016-07-22,72,87,62,5.8,98,76,0.00
2016-07-23,72,88,63,7.6,98,77,0.00
2016-07-24,73,89,64,7.2,99,78,0.00
2016-07-25,74,85,78,6.5,97,74,0.0
2016-07-26,74,85,78,5.8,95,74,0.06
2016-07-27,74,83,85,5.8,91,75,0.18
2016-07-28,74,85,82,6.9,95,75,0.0
2016-07-29,74,86,71,6.7,96,76,0.00
2016-07-30,73,87,68,8.1,97,76,0.00
2016-07-31,74,87,70,8.3,97,76,0.00
2016-08-01,71,87,64,7.8,98,75,0.00
2016-08-02,73,87,66,6.5,98,75,0.00
2016-08-03,73,88,64,5.8,99,77,0.00
2016-08-04,73,87,66,6.9,99,76,0.00
2016-08-05,74,88,67,6.3,99,77,0.0
2016-08-06,72,87,62,6.0,99,76,0.00
2016-08-07,73,89,63,6.5,100,77,0.00
2016-08-08,72,87,62,6.3,99,76,0.00
2016-08-09,74,89,64,7.4,100,77,0.00
2016-08-10,73,89,63,6.7,100,78,0.00
2016-08-11,75,90,64,8.5,101,80,0.00
2016-08-12,73,90,62,8.3,102,79,0.00
2016-08-13,75,86,78,6.3,97,75,1.54
2016-08-14,73,79,92,5.1,87,70,0.30
2016-08-15,74,78,93,4.9,85,71,1.60
2016-08-16,75,78,91,7.6,83,74,0.12
2016-08-17,75,80,95,7.4,86,73,0.60
2016-08-18,75,80,91,4.9,86,73,0.07
2016-08-19,76,83,83,8.5,90,75,0.01
2016-08-20,75,81,87,6.7,89,73,2.01
2016-08-21,74,78,93,6.0,83,73,1.05
2016-08-22,76,80,89,7.2,87,73,0.82
2016-08-23,76,85,77,9.8,93,76,0.0
2016-08-24,74,84,77,6.9,94,74,0.00
2016-08-25,75,85,78,4.5,93,76,0.00
2016-08-26,74,81,84,5.4,89,74,0.00
2016-08-27,72,83,76,4.9,92,74,0.00
2016-08-28,73,83,85,7.4,91,74,0.33
2016-08-29,73,81,85,8.9,90,73,0.03
2016-08-30,73,83,79,8.7,93,72,0.44
2016-08-31,74,85,72,6.5,94,75,0.00
2016-09-01,72,85,68,7.2,95,76,0.00
2016-09-02,74,83,80,6.9,91,75,0.02
2016-09-03,72,82,73,6.3,90,74,0.00
2016-09-04,73,83,76,5.6,93,74,0.06
2016-09-05,76,83,88,6.7,90,75,0.30
2016-09-06,75,84,78,8.1,93,75,0.00
2016-09-07,75,85,78,7.4,94,75,0.00
2016-09-08,75,85,77,7.8,94,76,0.00
2016-09-09,74,83,77,7.6,92,75,0.00
2016-09-10,72,83,76,7.4,91,74,0.00
2016-09-11,68,81,68,6.5,90,71,0.00
2016-09-12,71,82,72,4.9,92,72,0.00
2016-09-13,73,84,77,5.4,92,76,0.01
2016-09-14,72,84,70,6.3,92,76,0.00
2016-09-15,72,85,68,5.8,94,75,0.00
2016-09-16,73,85,73,4.7,94,75,0.00
2016-09-17,74,86,73,3.4,96,76,0.00
2016-09-18,75,85,74,4.0,95,76,0.00
2016-09-19,75,87,73,5.6,96,77,0.00
2016-09-20,74,86,73,3.4,97,75,0.0
2016-09-21,69,83,65,4.3,94,73,0.00
2016-09-22,72,83,72,5.6,94,72,0.0
2016-09-23,74,83,78,8.5,92,74,0.00
2016-09-24,75,85,83,8.1,94,75,0.09
2016-09-25,74,81,90,5.4,90,72,1.52
2016-09-26,70,74,90,8.5,78,69,0.0
2016-09-27,64,74,73,6.7,81,67,0.00
2016-09-28,61,76,65,2.0,87,64,0.00
2016-09-29,56,72,61,8.7,83,62,0.00
2016-09-30,53,68,59,4.3,81,55,0.00
2016-10-01,58,69,68,2.5,78,60,0.0
2016-10-02,59,74,62,2.9,86,62,0.00
2016-10-03,59,75,61,4.9,86,64,0.00
2016-10-04,67,79,71,8.5,91,66,0.00
2016-10-05,71,83,77,6.5,93,72,0.00
2016-10-06,73,81,86,5.6,90,73,0.01
2016-10-07,68,77,80,10.1,89,65,0.00
2016-10-08,61,73,70,9.2,85,61,0.00
2016-10-09,46,69,47,8.5,81,57,0.00
2016-10-10,48,67,52,3.6,85,50,0.00
2016-10-11,65,74,77,5.1,87,60,0.00
2016-10-12,70,81,75,8.7,92,70,0.00
2016-10-13,71,81,85,5.4,89,72,2.14
2016-10-14,70,78,81,5.8,86,70,0.0
2016-10-15,66,79,69,8.5,90,68,0.00
2016-10-16,70,81,75,8.5,91,71,0.00
2016-10-17,71,83,76,10.3,92,73,0.00
2016-10-18,71,84,74,9.8,93,75,0.00
2016-10-19,72,81,79,6.7,90,73,0.0
2016-10-20,63,72,72,10.5,82,62,0.00
2016-10-21,47,64,56,7.4,75,53,0.00
2016-10-22,45,63,57,4.7,78,47,0.00
2016-10-23,56,68,67,7.4,82,53,0.00
2016-10-24,61,74,68,5.8,84,65,0.00
2016-10-25,62,72,74,4.0,82,61,0.00
2016-10-26,60,74,66,5.8,85,64,0.00
2016-10-27,60,74,67,2.7,86,63,0.00
2016-10-28,59,73,64,4.0,86,60,0.00
2016-10-29,64,73,77,5.1,86,60,0.00
2016-10-30,63,74,77,2.2,85,62,0.00
2016-10-31,63,71,79,5.4,84,58,0.00
2016-11-01,71,77,87,9.8,85,69,0.0
2016-11-02,70,79,77,8.1,87,71,0.00
2016-11-03,70,78,89,5.8,85,70,0.15
2016-11-04,69,72,94,7.2,74,69,0.02
2016-11-05,62,66,90,8.1,71,61,0.43
2016-11-06,63,71,82,8.7,81,61,1.29
2016-11-07,65,70,91,5.8,73,66,0.00
2016-11-08,64,67,93,6.9,70,63,0.02
2016-11-09,61,65,89,9.8,69,61,0.01
2016-11-10,50,63,67,6.5,72,55,0.00
2016-11-11,54,62,77,3.6,71,52,0.00
2016-11-12,56,67,74,5.1,79,55,0.00
2016-11-13,51,64,68,5.4,73,55,0.00
2016-11-14,57,67,74,5.8,78,55,0.00
2016-11-15,53,69,68,2.7,83,54,0.00
2016-11-16,53,69,61,6.0,85,53,0.00
2016-11-17,61,72,76,11.0,83,60,0.00
2016-11-18,53,63,67,12.1,77,50,0.03
2016-11-19,31,53,48,11.2,63,42,0.00
2016-11-20,32,49,55,5.1,65,34,0.00
2016-11-21,49,60,70,8.9,76,45,0.00
2016-11-22,62,69,80,12.3,80,58,0.02
2016-11-23,51,60,70,7.4,71,49,0.45
2016-11-24,51,59,71,4.0,74,44,0.00
2016-11-25,57,60,88,5.8,67,54,0.16
2016-11-26,53,63,73,4.9,72,53,0.00
2016-11-27,57,63,79,12.8,73,54,0.0
2016-11-28,53,67,64,9.8,81,53,0.02
2016-11-29,46,65,55,3.8,79,50,0.13
2016-11-30,,54,,8.3,66,41,0.0
2016-12-01,32,53,51,5.8,67,38,0.00
2016-12-02,43,57,65,9.6,66,48,0.57
2016-12-03,48,50,95,10.5,51,49,1.11
2016-12-04,49,51,92,11.4,53,49,0.25
2016-12-05,49,50,95,7.6,51,49,0.65
2016-12-06,49,54,89,7.2,62,45,0.00
2016-12-07,48,52,85,5.8,59,45,0.00
2016-12-08,33,45,70,17.7,53,36,0.0
2016-12-09,21,41,46,8.5,48,33,0.00
2016-12-10,32,45,59,7.6,54,36,0.00
2016-12-11,58,63,84,10.7,74,51,0.0
2016-12-12,54,60,85,5.1,66,53,0.00
2016-12-13,58,63,87,7.2,72,54,0.0
2016-12-14,49,58,75,7.4,65,51,0.00
2016-12-15,40,50,66,9.2,53,46,0.00
2016-12-16,55,59,90,9.4,69,48,0.0
2016-12-17,61,58,82,15.9,80,36,0.0
2016-12-18,28,32,71,19.0,36,27,0.00
2016-12-19,15,34,47,11.0,46,22,0.00
2016-12-20,19,45,36,4.7,57,32,0.00
2016-12-21,38,57,49,8.1,71,43,0.00
2016-12-22,44,58,62,8.7,69,47,0.00
2016-12-23,62,65,93,5.8,74,56,0.11
2016-12-24,67,73,86,11.2,78,68,0.01
2016-12-25,67,75,83,13.6,80,70,0.0
2016-12-26,70,76,86,9.8,80,71,0.02
2016-12-27,65,71,85,3.6,78,63,0.05
2016-12-28,67,74,84,8.5,82,65,0.00
2016-12-29,31,59,36,14.1,69,48,0.00
2016-12-30,29,50,43,6.7,53,46,0.0
2016-12-31,55,62,83,8.1,72,51,0.0
2017-01-01,60,63,89,4.5,70,56,0.00
2017-01-02,55,62,73,8.1,74,50,0.51
2017-01-03,43,58,62,8.7,74,42,0.00
2017-01-04,32,42,67,7.4,47,37,0.00
2017-01-05,38,51,72,9.6,64,37,0.00
2017-01-06,19,30,64,18.6,37,23,0.0
2017-01-07,12,30,50,9.4,42,17,0.00
2017-01-08,20,37,53,7.2,51,22,0.00
2017-01-09,48,56,74,12.5,70,41,0.00
2017-01-10,60,70,76,15.7,79,60,0.00
2017-01-11,63,72,77,18.1,79,65,0.00
2017-01-12,63,74,74,12.5,81,68,0.00
2017-01-13,65,74,80,9.6,82,67,0.01
2017-01-14,57,63,88,5.4,71,54,0.01
2017-01-15,63,62,93,10.7,71,53,0.26
